fia_id,parent_denominator,category,assertion,correlation,scenario_record_sha256,fia11_subcase_model
FIA-01,12,Admission,canonical 1x admission/origination,0xcd0451b9297d042fce8175c1411c91bc295005e9beb7bf98c5f7eb8cb4e0fc93,16efda38773e40536fa16e265ae66ae57986e4393071fade7de5468b6d1421fb,n/a
FIA-02,12,Admission,exact 2x admission,0xbf064f8c964d4fa8c223677e23b1e836a918e0e83152087db19de99d18e05b8c,1ea5ab890c7976673578ed985ceb23a66a4e3b2a80de937d22165468d69bf413,n/a
FIA-03,12,Admission,over-cap/unsupported rejection without mutation,0xa2aeb2853233f5371cf0db981623ca8a162a2e7000772f6d29b6ac1ac7296f47,4c47a8df072a622c664c80df87873adfec41b54ffa390fec6e04d6323837bb63,n/a
FIA-04,12,Settlement,partial then final settlement,0xe47d3003aaa75a0c272a9d227f70dd2af90312bb586aba664a75c639a4d921cd,651deb7adafdc6d66b48a78600d2dc5061b8dca3a0c026673e45611094901efa,n/a
FIA-05,12,Settlement,residual and collateral release,0x8f0754ca36c3989d1fe7da02cb17a734202b960bde8cd47810dc5e291648a9f2,e5d14f7546a6ee8038cd84566f9bdae1d475ed76375068ac6abc5aee8d42a2e5,n/a
FIA-06,12,Liquidation,liquidation to hard-flat,0xc88b6827911354a47465a94c036da6315b079987bcbc5cb342c363dc922edef7,e7fca9a256745b4949b2331fe01790b9d4c7d0b925419077b80726098e3e9c43,n/a
FIA-07,12,Liquidation,reserve LBP and senior waterfall,0xc5d408105bfa83647a174c88b67b47fe44e422ae67690ccfa0202ebf72c2e4de,1f207acacc6b0ebce87739721b79f054a386d87e4c4b0beab849dd1c74223971,n/a
FIA-08,12,Evidence,evidence conflict quarantine and recovery,0xc66033128a9ab46f693612904d774502e8f28c01dec29246b0cce19fb0a4e998,744e353c73fe51d51bb9de6e6b4470c2d9743b6bcef4e688ab4e0f01767c0068,n/a
FIA-09,12,Capital,senior withdrawal queue during impairment,0x4c99fea23562821dda4601f44b1b0fef333630ce3bbab3fd78165d996b2d5346,36c07894d77c773a0f684106b40da1df2cb1aa8bad149405e45e4f7c9fd5d2aa,n/a
FIA-10,12,Evidence,exactly-once replay and recovery,0x26c421c28f05a8683ae15163a8d18857f47edd0b82423e47443488660a1fee94,85df11c7b670a8f31eba10a63656da621b9b676b2d92111ba7a3c8c62318449b,n/a
FIA-11,12,Capability,stale capability parent assertion,0xaa81f69be402daf2850c8d9db32e75068b60a5a3db6f51e53c32b8532142aa50,ae095935bcb47af688b69155898a7e3343aae7e0cb14ed94351d5baa251f9bc5,FIA-011A+FIA-011B
FIA-12,12,Governance,protocol-wide pause and timelocked recovery,0x274517fa3e9bbbe7c123c728e826a861c8806ac3db2911baee66be5d864ee640,ad64637b5e96a1d3716a82858d2411530d3661cf674e27ae1e9d9bddaa009a87,n/a

